Matchup,cd,dem_name,rep_name,prediction,raw_prediction,bucket,win_prob_d,flip,win_prob_r,District ID,Rating Standardized,Rating Signed v27
Melissa Strange (D) vs Ed Gallrein (R),KY-04,Melissa Strange,Ed Gallrein,R+27.7,27.7,Safe R,0,N,100,KY-04,Safe R,-4.0
Ned Pillersdorf (D) vs Hal Rogers (R),KY-05,Ned Pillersdorf,Hal Rogers,R+58.0,58.0,Safe R,0,N,100,KY-05,Safe R,-4.0
Zach Dembo (D) vs Ralph Alvarado (R),KY-06,Zach Dembo,Ralph Alvarado,R+4.6,4.6,Lean R,24,N,76,KY-06,Lean R,-2.0
Lauren Jewett (D) vs Steve Scalise (R),LA-01,Lauren Jewett,Steve Scalise,R+41.2,41.2,Safe R,0,N,100,LA-01,Safe R,-4.0
Troy Carter (D) vs Eventual Nominee (R),LA-02,Troy Carter,Eventual Nominee,D+60.5,-60.5,Safe D,100,N,0,LA-02,Safe D,4.0
Eventual Nominee (D) vs Clay Higgins (R),LA-03,Eventual Nominee,Clay Higgins,R+40.3,40.3,Safe R,0,N,100,LA-03,Safe R,-4.0
Eventual Nominee (D) vs Mike Johnson (R),LA-04,Eventual Nominee,Mike Johnson,R+38.3,38.3,Safe R,0,N,100,LA-04,Safe R,-4.0
Eventual Nominee (D) vs Eventual Nominee (R),LA-05,Eventual Nominee,Eventual Nominee,R+32.8,32.8,Safe R,0,N,100,LA-05,Safe R,-4.0
Cleo Fields (D) vs Eventual Nominee (R),LA-06,Cleo Fields,Eventual Nominee,R+24.5,24.5,Safe R,0,Y,100,LA-06,Safe R,-4.0
Richard Neal (D) vs Eventual Nominee (R),MA-01,Richard Neal,Eventual Nominee,D+30.2,-30.2,Safe D,100,N,0,MA-01,Safe D,4.0
Jim McGovern (D) vs Eventual Nominee (R),MA-02,Jim McGovern,Eventual Nominee,D+40.7,-40.7,Safe D,100,N,0,MA-02,Safe D,4.0
Lori Trahan (D) vs Gary Grossi (R),MA-03,Lori Trahan,Gary Grossi,D+35.7,-35.7,Safe D,100,N,0,MA-03,Safe D,4.0
Jake Auchincloss (D) vs Tom Stalcup (R),MA-04,Jake Auchincloss,Tom Stalcup,D+32.4,-32.4,Safe D,100,N,0,MA-04,Safe D,4.0
Katherine Clark (D) vs Eventual Nominee (R),MA-05,Katherine Clark,Eventual Nominee,D+58.9,-58.9,Safe D,100,N,0,MA-05,Safe D,4.0
Eventual Nominee (D) vs Micah Jones (R),MA-06,Eventual Nominee,Micah Jones,D+33.6,-33.6,Safe D,100,N,0,MA-06,Safe D,4.0
Ayanna Pressley (D) vs Eventual Nominee (R),MA-07,Ayanna Pressley,Eventual Nominee,D+77.1,-77.1,Safe D,100,N,0,MA-07,Safe D,4.0
Stephen Lynch (D) vs Eventual Nominee (R),MA-08,Stephen Lynch,Eventual Nominee,D+46.8,-46.8,Safe D,100,N,0,MA-08,Safe D,4.0
Bill Keating (D) vs Tyler MacAllister (R),MA-09,Bill Keating,Tyler MacAllister,D+26.5,-26.5,Safe D,100,N,0,MA-09,Safe D,4.0
Dan Schwartz (D) vs Andy Harris (R),MD-01,Dan Schwartz,Andy Harris,R+12.2,12.2,Safe R,4,N,96,MD-01,Safe R,-4.0
Johnny Olszewski (D) vs Dave Wallace (R),MD-02,Johnny Olszewski,Dave Wallace,D+32.3,-32.3,Safe D,100,N,0,MD-02,Safe D,4.0
Sarah Elfreth (D) vs Berney Flowers (R),MD-03,Sarah Elfreth,Berney Flowers,D+37.3,-37.3,Safe D,100,N,0,MD-03,Safe D,4.0
Glenn Ivey (D) vs George McDermott (R),MD-04,Glenn Ivey,George McDermott,D+87.7,-87.7,Safe D,100,N,0,MD-04,Safe D,4.0
Adrian Boafo (D) vs Chris Chaffee (R),MD-05,Adrian Boafo,Chris Chaffee,D+43.9,-43.9,Safe D,100,N,0,MD-05,Safe D,4.0
April McClain Delaney (D) vs Robin Ficker (R),MD-06,April McClain Delaney,Robin Ficker,D+20.8,-20.8,Safe D,100,N,0,MD-06,Safe D,4.0
Kweisi Mfume (D) vs Scott Collier (R),MD-07,Kweisi Mfume,Scott Collier,D+75.2,-75.2,Safe D,100,N,0,MD-07,Safe D,4.0
Jamie Raskin (D) vs Cheryl Riley (R),MD-08,Jamie Raskin,Cheryl Riley,D+67.8,-67.8,Safe D,100,N,0,MD-08,Safe D,4.0
Chellie Pingree (D) vs Ronald Russell (R),ME-01,Chellie Pingree,Ronald Russell,D+35.0,-35.0,Safe D,100,N,0,ME-01,Safe D,4.0
Matt Dunlap (D) vs Paul LePage (R),ME-02,Matt Dunlap,Paul LePage,R+1.2,1.2,Tossup,43,Y,57,ME-02,Tossup,0.0
Callie Barr (D) vs Jack Bergman (R),MI-01,Callie Barr,Jack Bergman,R+13.3,13.3,Safe R,3,N,97,MI-01,Safe R,-4.0
Ben Ambrose (D) vs John Moolenaar (R),MI-02,Ben Ambrose,John Moolenaar,R+27.3,27.3,Safe R,0,N,100,MI-02,Safe R,-4.0
Hillary Scholten (D) vs Terri DeBoer (R),MI-03,Hillary Scholten,Terri DeBoer,D+22.1,-22.1,Safe D,100,N,0,MI-03,Safe D,4.0
Sean McCann (D) vs Bill Huizenga (R),MI-04,Sean McCann,Bill Huizenga,R+1.5,1.5,Tossup,42,N,58,MI-04,Tossup,0.0
Christian Vukasovich (D) vs Tim Walberg (R),MI-05,Christian Vukasovich,Tim Walberg,R+24.2,24.2,Safe R,0,N,100,MI-05,Safe R,-4.0
Debbie Dingell (D) vs Heather Smiley (R),MI-06,Debbie Dingell,Heather Smiley,D+39.0,-39.0,Safe D,100,N,0,MI-06,Safe D,4.0
Will Lawrence (D) vs Tom Barrett (R),MI-07,Will Lawrence,Tom Barrett,D+1.9,-1.9,Lean D,62,Y,38,MI-07,Lean D,2.0
Kristen McDonald Rivet (D) vs Thomas Smith (R),MI-08,Kristen McDonald Rivet,Thomas Smith,D+16.7,-16.7,Safe D,99,N,1,MI-08,Safe D,4.0
Ray Pooley (D) vs Lisa McClain (R),MI-09,Ray Pooley,Lisa McClain,R+29.6,29.6,Safe R,0,N,100,MI-09,Safe R,-4.0
Christina Hines (D) vs Michael Bouchard (R),MI-10,Christina Hines,Michael Bouchard,D+3.1,-3.1,Lean D,68,Y,32,MI-10,Lean D,2.0
Jeremy Moss (D) vs Ethan Baker (R),MI-11,Jeremy Moss,Ethan Baker,D+27.4,-27.4,Safe D,100,N,0,MI-11,Safe D,4.0
Rashida Tlaib (D) vs James Hooper (R),MI-12,Rashida Tlaib,James Hooper,D+53.4,-53.4,Safe D,100,N,0,MI-12,Safe D,4.0
Donovan McKinney (D) vs T.P. Nykoriak (R),MI-13,Donovan McKinney,T.P. Nykoriak,D+52.3,-52.3,Safe D,100,N,0,MI-13,Safe D,4.0
Jake Johnson (D) vs Brad Finstad (R),MN-01,Jake Johnson,Brad Finstad,R+11.7,11.7,Safe R,4,N,96,MN-01,Safe R,-4.0
Matt Little (D) vs Eric Pratt (R),MN-02,Matt Little,Eric Pratt,D+10.5,-10.5,Likely D,94,N,6,MN-02,Likely D,3.0
Kelly Morrison (D) vs Tyler Bass (R),MN-03,Kelly Morrison,Tyler Bass,D+27.5,-27.5,Safe D,100,N,0,MN-03,Safe D,4.0
Betty McCollum (D) vs Paul Wiksom (R),MN-04,Betty McCollum,Paul Wiksom,D+42.5,-42.5,Safe D,100,N,0,MN-04,Safe D,4.0
Ilhan Omar (D) vs John Nagel (R),MN-05,Ilhan Omar,John Nagel,D+61.4,-61.4,Safe D,100,N,0,MN-05,Safe D,4.0
Doug Chapin (D) vs Tom Emmer (R),MN-06,Doug Chapin,Tom Emmer,R+22.9,22.9,Safe R,0,N,100,MN-06,Safe R,-4.0
Erik Osberg (D) vs Michelle Fischbach (R),MN-07,Erik Osberg,Michelle Fischbach,R+37.2,37.2,Safe R,0,N,100,MN-07,Safe R,-4.0
Trina Swanson (D) vs Pete Stauber (R),MN-08,Trina Swanson,Pete Stauber,R+15.4,15.4,Safe R,1,N,99,MN-08,Safe R,-4.0
Wesley Bell (D) vs Paul Berry III (R),MO-01,Wesley Bell,Paul Berry III,D+73.2,-73.2,Safe D,100,N,0,MO-01,Safe D,4.0
Fred Wellman (D) vs Ann Wagner (R),MO-02,Fred Wellman,Ann Wagner,R+6.5,6.5,Likely R,17,N,83,MO-02,Likely R,-3.0
Bethany Mann (D) vs Bob Onder (R),MO-03,Bethany Mann,Bob Onder,R+14.5,14.5,Safe R,2,N,98,MO-03,Safe R,-4.0
Jordan Herrera (D) vs Mark Alford (R),MO-04,Jordan Herrera,Mark Alford,R+17.0,17.0,Safe R,1,N,99,MO-04,Safe R,-4.0
Emanuel Cleaver (D) vs Rick Brattin (R),MO-05,Emanuel Cleaver,Rick Brattin,R+5.7,5.7,Likely R,19,Y,81,MO-05,Likely R,-3.0
Josh Smead (D) vs Chris Stigall (R),MO-06,Josh Smead,Chris Stigall,R+19.4,19.4,Safe R,1,N,99,MO-06,Safe R,-4.0
Missi Hesketh (D) vs Eric Burlison (R),MO-07,Missi Hesketh,Eric Burlison,R+38.4,38.4,Safe R,0,N,100,MO-07,Safe R,-4.0
Chris Reichard (D) vs Jason Smith (R),MO-08,Chris Reichard,Jason Smith,R+48.5,48.5,Safe R,0,N,100,MO-08,Safe R,-4.0
Cliff Johnson (D) vs Trent Kelly (R),MS-01,Cliff Johnson,Trent Kelly,R+33.9,33.9,Safe R,0,N,100,MS-01,Safe R,-4.0
Bennie Thompson (D) vs Ron Eller (R),MS-02,Bennie Thompson,Ron Eller,D+34.1,-34.1,Safe D,100,N,0,MS-02,Safe D,4.0
Michael Chiaradio (D) vs Michael Guest (R),MS-03,Michael Chiaradio,Michael Guest,R+28.8,28.8,Safe R,0,N,100,MS-03,Safe R,-4.0
Jeffrey Hulum III (D) vs Mike Ezell (R),MS-04,Jeffrey Hulum III,Mike Ezell,R+41.6,41.6,Safe R,0,N,100,MS-04,Safe R,-4.0
Sam Forstag (D) vs Aaron Flint (R),MT-01,Sam Forstag,Aaron Flint,R+4.2,4.2,Lean R,26,N,74,MT-01,Lean R,-2.0
Brian Miller (D) vs Troy Downing (R),MT-02,Brian Miller,Troy Downing,R+27.7,27.7,Safe R,0,N,100,MT-02,Safe R,-4.0
Don Davis (D) vs Laurie Buckhout (R),NC-01,Don Davis,Laurie Buckhout,D+0.9,-0.9,Tossup,55,N,45,NC-01,Tossup,0.0
Deborah Ross (D) vs Eugene Douglass (R),NC-02,Deborah Ross,Eugene Douglass,D+46.1,-46.1,Safe D,100,N,0,NC-02,Safe D,4.0
Raymond Smith Jr. (D) vs Greg Murphy (R),NC-03,Raymond Smith Jr.,Greg Murphy,R+12.5,12.5,Safe R,4,N,96,NC-03,Safe R,-4.0
Valerie Foushee (D) vs Max Ganorkar (R),NC-04,Valerie Foushee,Max Ganorkar,D+57.6,-57.6,Safe D,100,N,0,NC-04,Safe D,4.0
Chuck Hubbard (D) vs Virginia Foxx (R),NC-05,Chuck Hubbard,Virginia Foxx,R+13.5,13.5,Safe R,3,N,97,NC-05,Safe R,-4.0
Cyril Jefferson (D) vs Addison McDowell (R),NC-06,Cyril Jefferson,Addison McDowell,R+15.5,15.5,Safe R,1,N,99,NC-06,Safe R,-4.0
Kimberly Hardy (D) vs David Rouzer (R),NC-07,Kimberly Hardy,David Rouzer,R+11.4,11.4,Safe R,5,N,95,NC-07,Safe R,-4.0
Colby Watson (D) vs Mark Harris (R),NC-08,Colby Watson,Mark Harris,R+16.7,16.7,Safe R,1,N,99,NC-08,Safe R,-4.0
Richard Ojeda (D) vs Richard Hudson (R),NC-09,Richard Ojeda,Richard Hudson,R+10.8,10.8,Safe R,5,N,95,NC-09,Safe R,-4.0
Ashley Bell (D) vs Pat Harrigan (R),NC-10,Ashley Bell,Pat Harrigan,R+16.0,16.0,Safe R,1,N,99,NC-10,Safe R,-4.0
Jamie Ager (D) vs Eventual Nominee (R),NC-11,Jamie Ager,Eventual Nominee,R+1.0,1.0,Tossup,44,N,56,NC-11,Tossup,0.0
Alma Adams (D) vs Jack Codiga (R),NC-12,Alma Adams,Jack Codiga,D+57.5,-57.5,Safe D,100,N,0,NC-12,Safe D,4.0
Paul Barringer (D) vs Brad Knott (R),NC-13,Paul Barringer,Brad Knott,R+11.5,11.5,Safe R,5,N,95,NC-13,Safe R,-4.0
Lakesha Womack (D) vs Tim Moore (R),NC-14,Lakesha Womack,Tim Moore,R+13.0,13.0,Safe R,3,N,97,NC-14,Safe R,-4.0
Trygve Hammer (D) vs Julie Fedorchak (R),ND-AL,Trygve Hammer,Julie Fedorchak,R+34.1,34.1,Safe R,0,N,100,ND-AL,Safe R,-4.0
Chris Backemeyer (D) vs Mike Flood (R),NE-01,Chris Backemeyer,Mike Flood,R+9.6,9.6,Likely R,8,N,92,NE-01,Likely R,-3.0
Denise Powell (D) vs Brinker Harding (R),NE-02,Denise Powell,Brinker Harding,D+13.0,-13.0,Safe D,97,Y,3,NE-02,Safe D,4.0
Becky Stille (D) vs Adrian Smith (R),NE-03,Becky Stille,Adrian Smith,R+52.4,52.4,Safe R,0,N,100,NE-03,Safe R,-4.0
Eventual Nominee (D) vs Eventual Nominee (R),NH-01,Eventual Nominee,Eventual Nominee,D+11.3,-11.3,Safe D,95,N,5,NH-01,Safe D,4.0
Maggie Goodlander (D) vs Lily Tang Williams (R),NH-02,Maggie Goodlander,Lily Tang Williams,D+17.5,-17.5,Safe D,99,N,1,NH-02,Safe D,4.0
Donald Norcross (D) vs Damon Galdo (R),NJ-01,Donald Norcross,Damon Galdo,D+30.5,-30.5,Safe D,100,N,0,NJ-01,Safe D,4.0
Zack Mullock (D) vs Jeff Van Drew (R),NJ-02,Zack Mullock,Jeff Van Drew,R+12.0,12.0,Safe R,4,N,96,NJ-02,Safe R,-4.0
Herb Conaway (D) vs Michael McGuire (R),NJ-03,Herb Conaway,Michael McGuire,D+21.5,-21.5,Safe D,100,N,0,NJ-03,Safe D,4.0
Rachel Peace (D) vs Chris Smith (R),NJ-04,Rachel Peace,Chris Smith,R+31.5,31.5,Safe R,0,N,100,NJ-04,Safe R,-4.0
Josh Gottheimer (D) vs Sean Kirrane (R),NJ-05,Josh Gottheimer,Sean Kirrane,D+16.6,-16.6,Safe D,99,N,1,NJ-05,Safe D,4.0
Frank Pallone (D) vs Hillary Herzig (R),NJ-06,Frank Pallone,Hillary Herzig,D+21.2,-21.2,Safe D,100,N,0,NJ-06,Safe D,4.0
Rebecca Bennett (D) vs Tom Kean (R),NJ-07,Rebecca Bennett,Tom Kean,D+2.5,-2.5,Lean D,65,Y,35,NJ-07,Lean D,2.0
Rob Menendez (D) vs Eventual Nominee (R),NJ-08,Rob Menendez,Eventual Nominee,D+38.1,-38.1,Safe D,100,N,0,NJ-08,Safe D,4.0
Nellie Pou (D) vs Rosie Pino (R),NJ-09,Nellie Pou,Rosie Pino,D+13.2,-13.2,Safe D,97,N,3,NJ-09,Safe D,4.0
LaMonica McIver (D) vs Carmen Bucco (R),NJ-10,LaMonica McIver,Carmen Bucco,D+61.9,-61.9,Safe D,100,N,0,NJ-10,Safe D,4.0
Analilia Mejia (D) vs Joe Hathaway (R),NJ-11,Analilia Mejia,Joe Hathaway,D+18.1,-18.1,Safe D,99,N,1,NJ-11,Safe D,4.0
Adam Hamawy (D) vs Gregg Mele (R),NJ-12,Adam Hamawy,Gregg Mele,D+33.7,-33.7,Safe D,100,N,0,NJ-12,Safe D,4.0
Melanie Stansbury (D) vs Didi Okpareke (R),NM-01,Melanie Stansbury,Didi Okpareke,D+25.6,-25.6,Safe D,100,N,0,NM-01,Safe D,4.0
Gabe Vasquez (D) vs Greg Cunningham (R),NM-02,Gabe Vasquez,Greg Cunningham,D+12.1,-12.1,Safe D,96,N,4,NM-02,Safe D,4.0
Teresa Leger Fernandez (D) vs Martin Zamora (R),NM-03,Teresa Leger Fernandez,Martin Zamora,D+20.2,-20.2,Safe D,100,N,0,NM-03,Safe D,4.0
Dina Titus (D) vs Carrie Buck (R),NV-01,Dina Titus,Carrie Buck,D+12.8,-12.8,Safe D,97,N,3,NV-01,Safe D,4.0
Teresa F. Benitez-Thompson (D) vs David Flippo (R),NV-02,Teresa F. Benitez-Thompson,David Flippo,R+9.0,9.0,Likely R,9,N,91,NV-02,Likely R,-3.0
Susie Lee (D) vs Marty O'Donnell (R),NV-03,Susie Lee,Marty O'Donnell,D+9.8,-9.8,Likely D,93,N,7,NV-03,Likely D,3.0
Steven Horsford (D) vs Cody Whipple (R),NV-04,Steven Horsford,Cody Whipple,D+14.8,-14.8,Safe D,98,N,2,NV-04,Safe D,4.0
Christopher Gallant (D) vs Nick LaLota (R),NY-01,Christopher Gallant,Nick LaLota,R+6.4,6.4,Likely R,16,N,84,NY-01,Likely R,-3.0
Patrick Halpin (D) vs Andrew Garbarino (R),NY-02,Patrick Halpin,Andrew Garbarino,R+13.0,13.0,Safe R,3,N,97,NY-02,Safe R,-4.0
Tom Suozzi (D) vs Michael LiPetri (R),NY-03,Tom Suozzi,Michael LiPetri,D+9.6,-9.6,Likely D,92,N,8,NY-03,Likely D,3.0
Laura Gillen (D) vs Jeanine Driscoll (R),NY-04,Laura Gillen,Jeanine Driscoll,D+15.1,-15.1,Safe D,98,N,2,NY-04,Safe D,4.0
Greg Meeks (D) vs George Marsh (R),NY-05,Greg Meeks,George Marsh,D+53.0,-53.0,Safe D,100,N,0,NY-05,Safe D,4.0
Grace Meng (D) vs Joseph Chou (R),NY-06,Grace Meng,Joseph Chou,D+24.7,-24.7,Safe D,100,N,0,NY-06,Safe D,4.0
Claire Valdez (D) vs Melvin Rivera (R),NY-07,Claire Valdez,Melvin Rivera,D+56.9,-56.9,Safe D,100,N,0,NY-07,Safe D,4.0
Hakeem Jeffries (D) vs Lewis Mizrahi (R),NY-08,Hakeem Jeffries,Lewis Mizrahi,D+58.0,-58.0,Safe D,100,N,0,NY-08,Safe D,4.0
Yvette Clarke (D) vs Joel Anabilah-Azumah (R),NY-09,Yvette Clarke,Joel Anabilah-Azumah,D+55.7,-55.7,Safe D,100,N,0,NY-09,Safe D,4.0
Brad Lander (D) vs Jennifer Moore (R),NY-10,Brad Lander,Jennifer Moore,D+70.1,-70.1,Safe D,100,N,0,NY-10,Safe D,4.0
Michael DeCillis (D) vs Nicole Malliotakis (R),NY-11,Michael DeCillis,Nicole Malliotakis,R+22.5,22.5,Safe R,0,N,100,NY-11,Safe R,-4.0
Micah Lasher (D) vs Caroline Shinkle (R),NY-12,Micah Lasher,Caroline Shinkle,D+72.7,-72.7,Safe D,100,N,0,NY-12,Safe D,4.0
Darializa Chevalier (D) vs Jomo Williams (R),NY-13,Darializa Chevalier,Jomo Williams,D+70.8,-70.8,Safe D,100,N,0,NY-13,Safe D,4.0
Alexandria Ocasio-Cortez (D) vs Diamant Hysenaj (R),NY-14,Alexandria Ocasio-Cortez,Diamant Hysenaj,D+46.2,-46.2,Safe D,100,N,0,NY-14,Safe D,4.0
Ritchie Torres (D) vs Stylo Sapaskis (R),NY-15,Ritchie Torres,Stylo Sapaskis,D+67.5,-67.5,Safe D,100,N,0,NY-15,Safe D,4.0
George Latimer (D) vs Joseph Cinquemani (R),NY-16,George Latimer,Joseph Cinquemani,D+50.0,-50.0,Safe D,100,N,0,NY-16,Safe D,4.0
Cait Conley (D) vs Mike Lawler (R),NY-17,Cait Conley,Mike Lawler,D+1.9,-1.9,Lean D,60,Y,40,NY-17,Lean D,2.0
Pat Ryan (D) vs Jacqueline Auringer (R),NY-18,Pat Ryan,Jacqueline Auringer,D+20.5,-20.5,Safe D,100,N,0,NY-18,Safe D,4.0
Josh Riley (D) vs Pete Oberacker (R),NY-19,Josh Riley,Pete Oberacker,D+16.7,-16.7,Safe D,99,N,1,NY-19,Safe D,4.0
Paul Tonko (D) vs Ralph Ambrosio (R),NY-20,Paul Tonko,Ralph Ambrosio,D+29.8,-29.8,Safe D,100,N,0,NY-20,Safe D,4.0
Blake Gendebien (D) vs Anthony Constantino (R),NY-21,Blake Gendebien,Anthony Constantino,R+12.1,12.1,Safe R,5,N,95,NY-21,Safe R,-4.0
John Mannion (D) vs Kailee Buller (R),NY-22,John Mannion,Kailee Buller,D+23.9,-23.9,Safe D,100,N,0,NY-22,Safe D,4.0
Aaron Gies (D) vs Nick Langworthy (R),NY-23,Aaron Gies,Nick Langworthy,R+20.4,20.4,Safe R,0,N,100,NY-23,Safe R,-4.0
Alissa Ellman (D) vs Claudia Tenney (R),NY-24,Alissa Ellman,Claudia Tenney,R+20.1,20.1,Safe R,0,N,100,NY-24,Safe R,-4.0
Joseph Morelle (D) vs Virginia McIntyre (R),NY-25,Joseph Morelle,Virginia McIntyre,D+31.7,-31.7,Safe D,100,N,0,NY-25,Safe D,4.0
Tim Kennedy (D) vs Dennis Hannon (R),NY-26,Tim Kennedy,Dennis Hannon,D+36.0,-36.0,Safe D,100,N,0,NY-26,Safe D,4.0
Greg Landsman (D) vs Eric Conroy (R),OH-01,Greg Landsman,Eric Conroy,D+10.3,-10.3,Likely D,92,N,8,OH-01,Likely D,3.0
Jennifer Mazzuckelli (D) vs David Taylor (R),OH-02,Jennifer Mazzuckelli,David Taylor,R+37.7,37.7,Safe R,0,N,100,OH-02,Safe R,-4.0
Joyce Beatty (D) vs Cleophus Dulaney (R),OH-03,Joyce Beatty,Cleophus Dulaney,D+54.1,-54.1,Safe D,100,N,0,OH-03,Safe D,4.0
Joshua Kolasinski (D) vs Jim Jordan (R),OH-04,Joshua Kolasinski,Jim Jordan,R+36.9,36.9,Safe R,0,N,100,OH-04,Safe R,-4.0
Brian Shaver (D) vs Bob Latta (R),OH-05,Brian Shaver,Bob Latta,R+21.1,21.1,Safe R,0,N,100,OH-05,Safe R,-4.0
Elizabeth Kirtley (D) vs Michael Rulli (R),OH-06,Elizabeth Kirtley,Michael Rulli,R+29.3,29.3,Safe R,0,N,100,OH-06,Safe R,-4.0
Brian Poindexter (D) vs Max Miller (R),OH-07,Brian Poindexter,Max Miller,D+3.4,-3.4,Lean D,68,Y,32,OH-07,Lean D,2.0
Vanessa Enoch (D) vs Warren Davidson (R),OH-08,Vanessa Enoch,Warren Davidson,R+10.9,10.9,Likely R,6,N,94,OH-08,Likely R,-3.0
Marcy Kaptur (D) vs Derek Merrin (R),OH-09,Marcy Kaptur,Derek Merrin,D+7.8,-7.8,Likely D,88,N,12,OH-09,Likely D,3.0
Kristina Knickerbocker (D) vs Mike Turner (R),OH-10,Kristina Knickerbocker,Mike Turner,R+7.9,7.9,Likely R,13,N,87,OH-10,Likely R,-3.0
Shontel Brown (D) vs Mike Kirchner (R),OH-11,Shontel Brown,Mike Kirchner,D+71.3,-71.3,Safe D,100,N,0,OH-11,Safe D,4.0
Jerrad Christian (D) vs Troy Balderson (R),OH-12,Jerrad Christian,Troy Balderson,R+26.3,26.3,Safe R,0,N,100,OH-12,Safe R,-4.0
Emilia Sykes (D) vs Carey Coleman (R),OH-13,Emilia Sykes,Carey Coleman,D+20.0,-20.0,Safe D,100,N,0,OH-13,Safe D,4.0
Maria Jukic (D) vs David Joyce (R),OH-14,Maria Jukic,David Joyce,R+18.7,18.7,Safe R,1,N,99,OH-14,Safe R,-4.0
Don Leonard (D) vs Mike Carey (R),OH-15,Don Leonard,Mike Carey,R+5.3,5.3,Lean R,23,N,77,OH-15,Lean R,-2.0
John Croisant (D) vs Eventual Nominee (R),OK-01,John Croisant,Eventual Nominee,R+18.4,18.4,Safe R,1,N,99,OK-01,Safe R,-4.0
Brandon Wade (D) vs Josh Brecheen (R),OK-02,Brandon Wade,Josh Brecheen,R+50.6,50.6,Safe R,0,N,100,OK-02,Safe R,-4.0
Suzie Byrd (D) vs Frank Lucas (R),OK-03,Suzie Byrd,Frank Lucas,R+44.2,44.2,Safe R,0,N,100,OK-03,Safe R,-4.0
Mitchell Jacob (D) vs Tom Cole (R),OK-04,Mitchell Jacob,Tom Cole,R+32.2,32.2,Safe R,0,N,100,OK-04,Safe R,-4.0
Jena Nelson (D) vs Stephanie Bice (R),OK-05,Jena Nelson,Stephanie Bice,R+16.1,16.1,Safe R,1,N,99,OK-05,Safe R,-4.0
Suzanne Bonamici (D) vs Barbara Kahl (R),OR-01,Suzanne Bonamici,Barbara Kahl,D+52.7,-52.7,Safe D,100,N,0,OR-01,Safe D,4.0
Chris Beck (D) vs Cliff Bentz (R),OR-02,Chris Beck,Cliff Bentz,R+23.8,23.8,Safe R,0,N,100,OR-02,Safe R,-4.0
Maxine Dexter (D) vs Loran Ayles (R),OR-03,Maxine Dexter,Loran Ayles,D+60.8,-60.8,Safe D,100,N,0,OR-03,Safe D,4.0
Val Hoyle (D) vs Monique DeSpain (R),OR-04,Val Hoyle,Monique DeSpain,D+21.1,-21.1,Safe D,100,N,0,OR-04,Safe D,4.0
Janelle Bynum (D) vs Patti Adair (R),OR-05,Janelle Bynum,Patti Adair,D+23.3,-23.3,Safe D,100,N,0,OR-05,Safe D,4.0
Andrea Salinas (D) vs David Russ (R),OR-06,Andrea Salinas,David Russ,D+24.3,-24.3,Safe D,100,N,0,OR-06,Safe D,4.0
Bob Harvie (D) vs Brian Fitzpatrick (R),PA-01,Bob Harvie,Brian Fitzpatrick,R+0.7,0.7,Tossup,46,N,54,PA-01,Tossup,0.0
Brendan Boyle (D) vs Jessica Arriaga (R),PA-02,Brendan Boyle,Jessica Arriaga,D+54.7,-54.7,Safe D,100,N,0,PA-02,Safe D,4.0
Chris Rabb (D) vs Eventual Nominee (R),PA-03,Chris Rabb,Eventual Nominee,D+89.6,-89.6,Safe D,100,N,0,PA-03,Safe D,4.0
Madeleine Dean (D) vs Aurora Stuski (R),PA-04,Madeleine Dean,Aurora Stuski,D+31.9,-31.9,Safe D,100,N,0,PA-04,Safe D,4.0
Mary Gay Scanlon (D) vs Nicholas Manganaro (R),PA-05,Mary Gay Scanlon,Nicholas Manganaro,D+44.1,-44.1,Safe D,100,N,0,PA-05,Safe D,4.0
Chrissy Houlahan (D) vs Marty Young (R),PA-06,Chrissy Houlahan,Marty Young,D+27.3,-27.3,Safe D,100,N,0,PA-06,Safe D,4.0
Bob Brooks (D) vs Ryan Mackenzie (R),PA-07,Bob Brooks,Ryan Mackenzie,D+4.5,-4.5,Lean D,75,Y,25,PA-07,Lean D,2.0
Paige Cognetti (D) vs Rob Bresnahan (R),PA-08,Paige Cognetti,Rob Bresnahan,D+1.1,-1.1,Tossup,57,Y,43,PA-08,Tossup,0.0
Rachel Wallace (D) vs Dan Meuser (R),PA-09,Rachel Wallace,Dan Meuser,R+29.4,29.4,Safe R,0,N,100,PA-09,Safe R,-4.0
Janelle Stelson (D) vs Scott Perry (R),PA-10,Janelle Stelson,Scott Perry,D+9.3,-9.3,Likely D,91,Y,9,PA-10,Likely D,3.0
Nancy Mannion (D) vs Lloyd Smucker (R),PA-11,Nancy Mannion,Lloyd Smucker,R+15.2,15.2,Safe R,2,N,98,PA-11,Safe R,-4.0
Summer Lee (D) vs James Hayes (R),PA-12,Summer Lee,James Hayes,D+29.9,-29.9,Safe D,100,N,0,PA-12,Safe D,4.0
Beth Farnham (D) vs John Joyce (R),PA-13,Beth Farnham,John Joyce,R+39.8,39.8,Safe R,0,N,100,PA-13,Safe R,-4.0
Alan Bradstock (D) vs Guy Reschenthaler (R),PA-14,Alan Bradstock,Guy Reschenthaler,R+26.1,26.1,Safe R,0,N,100,PA-14,Safe R,-4.0
Ray Bilger (D) vs Glenn Thompson (R),PA-15,Ray Bilger,Glenn Thompson,R+32.5,32.5,Safe R,0,N,100,PA-15,Safe R,-4.0
Justin Wagner (D) vs Mike Kelly (R),PA-16,Justin Wagner,Mike Kelly,R+16.4,16.4,Safe R,1,N,99,PA-16,Safe R,-4.0
